From,NH3 (µg/m3)
09/02/2023 11:15,29
09/02/2023 11:30,28.3
09/02/2023 11:45,25.3
09/02/2023 12:00,22.3
09/02/2023 12:15,19.3
09/02/2023 12:30,18.4
09/02/2023 12:45,20.3
09/02/2023 13:00,22
09/02/2023 13:15,22.5
09/02/2023 13:30,21.7
09/02/2023 13:45,20.8
09/02/2023 14:00,20.7
09/02/2023 14:15,22.3
09/02/2023 14:30,22.1
09/02/2023 14:45,22.1
09/02/2023 15:00,21.7
09/02/2023 15:15,22.4
09/02/2023 15:30,22.6
09/02/2023 15:45,23.8
09/02/2023 16:00,24.8
09/02/2023 16:15,24.9
09/02/2023 16:30,25
09/02/2023 16:45,24.7
09/02/2023 17:00,24.2
09/02/2023 17:15,23.8
09/02/2023 17:30,24.2
09/02/2023 17:45,24.3
09/02/2023 18:00,23.4
09/02/2023 18:15,23.4
09/02/2023 18:30,24
09/02/2023 18:45,24.6
09/02/2023 19:00,24.8
09/02/2023 19:15,24.7
09/02/2023 19:30,25.3
09/02/2023 19:45,25.4
09/02/2023 20:00,23.9
09/02/2023 20:15,22.3
09/02/2023 20:30,21.3
09/02/2023 20:45,20.8
09/02/2023 21:00,19.9
09/02/2023 21:15,19.4
09/02/2023 21:30,19.9
09/02/2023 21:45,19.7
09/02/2023 22:00,19.7
09/02/2023 22:15,19.1
09/02/2023 22:30,19.6
09/02/2023 22:45,19.2
09/02/2023 23:00,19.7
09/02/2023 23:15,19.7
09/02/2023 23:30,19.9
09/02/2023 23:45,20.2
10/02/2023 00:00,22.3
10/02/2023 00:15,25
10/02/2023 00:30,27.1
10/02/2023 00:45,27.7
10/02/2023 01:00,26.9
10/02/2023 01:15,26.6
10/02/2023 01:30,27.2
10/02/2023 01:45,28.2
10/02/2023 02:00,28.9
10/02/2023 02:15,28.2
10/02/2023 02:30,27.9
10/02/2023 02:45,27.6
10/02/2023 03:00,27.7
10/02/2023 03:15,27.4
10/02/2023 03:30,27.5
10/02/2023 03:45,27.6
10/02/2023 04:00,24.1
10/02/2023 04:15,22
10/02/2023 04:30,21.2
10/02/2023 04:45,20.6
10/02/2023 05:00,20.1
10/02/2023 05:15,19.8
10/02/2023 05:30,19.9
10/02/2023 05:45,20.1
10/02/2023 06:00,19.7
10/02/2023 06:15,19.7
10/02/2023 06:30,20.2
10/02/2023 06:45,20.1
10/02/2023 07:00,20.5
10/02/2023 07:15,19.5
10/02/2023 07:30,20.1
10/02/2023 07:45,21.1
10/02/2023 08:00,22.8
10/02/2023 08:15,25.4
10/02/2023 08:30,27
10/02/2023 08:45,28
10/02/2023 09:00,28.5
10/02/2023 09:15,28.7
10/02/2023 09:30,29.6
10/02/2023 09:45,30.1
10/02/2023 10:00,30
10/02/2023 10:15,28.9
10/02/2023 10:30,28.8
10/02/2023 10:45,30.1
10/02/2023 11:00,29.8
10/02/2023 11:15,28.1
10/02/2023 11:30,27
10/02/2023 11:45,24.6
10/02/2023 12:00,22.2
10/02/2023 12:15,19.8
10/02/2023 12:30,17.1
10/02/2023 12:45,18.8
10/02/2023 13:00,19.3
10/02/2023 13:15,20
10/02/2023 13:30,20.3
10/02/2023 13:45,20.4
10/02/2023 14:00,19.5
10/02/2023 14:15,19.6
10/02/2023 14:30,20
10/02/2023 14:45,24.9
10/02/2023 15:00,31.1
10/02/2023 15:15,31.2
10/02/2023 15:30,25.2
10/02/2023 15:45,23.2
10/02/2023 16:00,23.5
10/02/2023 16:15,23.7
10/02/2023 16:30,27.2
10/02/2023 16:45,30
10/02/2023 17:00,30.6
10/02/2023 17:15,30.3
10/02/2023 17:30,30.5
10/02/2023 17:45,29.9
10/02/2023 18:00,29.2
